stock_code,description,units_sold,units_returned,net_sales,gross_sales,return_value,total_orders
23024,LARGE BONNE JAM JAR  T-LIGHT HOLDER,255,2,662.87,667.85,4.98,12
23025,DRAWER KNOB VINTAGE GLASS BALL,350,6,748.32,760.80,12.48,55
23026,DRAWER KNOB VINTAGE GLASS STAR,556,14,1169.84,1198.96,29.12,64
23027,DRAWER KNOB VINTAGE GLASS HEXAGON,295,0,627.95,627.95,0.00,30
23028,DOORKNOB CRACKED GLAZE BLUE,162,0,238.50,238.50,0.00,3
23028,DRAWER KNOB CRACKLE GLAZE BLUE,1207,7,2127.08,2138.63,11.55,137
23029,DOORKNOB CRACKED GLAZE GREEN,12,0,19.80,19.80,0.00,2
23029,DRAWER KNOB CRACKLE GLAZE GREEN,1340,28,2237.92,2284.12,46.20,162
23031,DOORKNOB CRACKED GLAZE PINK,12,0,19.80,19.80,0.00,2
23031,DRAWER KNOB CRACKLE GLAZE PINK,1266,20,2099.50,2132.50,33.00,162
23032,DOORKNOB CRACKED GLAZE IVORY,174,0,258.30,258.30,0.00,5
23032,DRAWER KNOB CRACKLE GLAZE IVORY,2154,46,3519.48,3595.38,75.90,205
23033,DRAWER KNOB CERAMIC RED,714,0,1058.90,1058.90,0.00,74
23034,DRAWER KNOB CERAMIC BLACK,979,6,1439.97,1448.67,8.70,89
23035,DOORKNOB CERAMIC IVORY,36,0,52.20,52.20,0.00,1
23035,DRAWER KNOB CERAMIC IVORY,2155,9,3134.74,3147.79,13.05,192
23036,T-LIGHT HOLDER SILVER PETIT FOUR ,184,0,232.42,232.42,0.00,16
23037,CANDLE HOLDER SILVER MADELINE,196,0,325.16,325.16,0.00,20
23038,T-LIGHT HOLDER SILVER SAUCER,44,0,42.92,42.92,0.00,8
23039,T-LIGHT HOLDER SILVER HEART HANDLE,199,6,388.01,399.71,11.70,29
23040,PAPER LANTERN 9 POINT SNOW STAR,12,0,69.00,69.00,0.00,4
23040,PAPER LANTERN 9 POINT SNOW STAR ,241,0,1325.03,1325.03,0.00,37
23041,PAPER LANTERN 6 POINT SNOW STAR,26,0,107.90,107.90,0.00,6
23041,PAPER LANTERN 9 POINT SNOW STAR,246,24,970.98,1070.58,99.60,49
23042,PAPER LANTERN 7 POINT SNOW STAR,103,10,645.01,711.51,66.50,29
23043,PAPER LANTERN 9 POINT HOLLY STAR 40,6,0,37.50,37.50,0.00,3
23043,PAPER LANTERN 9 POINT HOLLY STAR L,75,0,506.01,506.01,0.00,20
23044,PAPER LANTERN 9 POINT HOLLY STAR 23,18,0,74.70,74.70,0.00,5
23044,PAPER LANTERN 9 POINT HOLLY STAR S,83,0,348.59,348.59,0.00,20
23045,PAPER LANTERN 5 POINT STAR MOON ,108,20,373.48,456.48,83.00,21
23045,PAPER LANTERN 5 POINT STAR MOON 30,10,0,41.50,41.50,0.00,5
23046,PAPER LANTERN 9 POINT DELUXE STAR,349,0,2111.49,2111.49,0.00,36
23047,PAPER LANTERN 5 POINT SEQUIN STAR,50,0,287.50,287.50,0.00,21
23047,PAPER LANTERN 5 POINT STUDDED STAR,8,0,46.00,46.00,0.00,4
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,577,33,2231.42,2368.37,136.95,104
23049,RECYCLED ACAPULCO MAT RED,456,3,3872.09,3896.84,24.75,188
23050,RECYCLED ACAPULCO MAT GREEN,497,1,4278.30,4286.55,8.25,206
23051,RECYCLED ACAPULCO MAT BLUE,365,2,3206.99,3223.49,16.50,164
23052,RECYCLED ACAPULCO MAT TURQUOISE,654,1,5941.09,5949.34,8.25,279
23053,RECYCLED ACAPULCO MAT PINK,364,1,3246.07,3254.32,8.25,165
23054,RECYCLED ACAPULCO MAT LAVENDER,295,1,2596.68,2604.93,8.25,131
23055,IVORY CHANDELIER T-LIGHT HOLDER,657,432,704.46,1395.18,690.72,43
23056,CRYSTAL CHANDELIER T-LIGHT HOLDER,3,0,18.75,18.75,0.00,1
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,960,579,1020.30,2879.37,1859.07,45
23057,BEADED CHANDELIER T-LIGHT HOLDER,695,433,784.82,1420.97,636.15,44
23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,78,0,347.70,347.70,0.00,7
23058,CHRISTMAS HANGING SNOWFLAKE,490,0,430.86,430.86,0.00,48
23060,HEART BEADED TRELLIS DECORATION,249,0,528.17,528.17,0.00,42
23061,VINTAGE EMBOSSED HEART,955,3,1253.93,1257.68,3.75,114
23061,VINTAGE ENGRAVED HEART,60,0,75.00,75.00,0.00,4
23064,CINDERELLA CHANDELIER ,221,71,2203.51,3717.56,1514.05,33
23065,LARGE DECO JEWELLERY STAND,263,1,3289.94,3302.44,12.50,96
23065,LARGE JEWELLERY STAND,10,0,125.00,125.00,0.00,4
23066,SMALL DECO JEWELLERY STAND,243,1,1997.56,2005.81,8.25,80
23066,SMALL JEWELLERY STAND,16,0,132.00,132.00,0.00,6
23067,HANGING ENGRAVED METAL HEART,294,0,1236.66,1236.66,0.00,78
23068,ALUMINIUM HEART,30,0,74.70,74.70,0.00,6
23068,ALUMINIUM STAMPED HEART,779,0,1892.23,1892.23,0.00,130
23069,EDWARDIAN PHOTO FRAME,88,0,556.21,556.21,0.00,32
23070,EDWARDIAN HEART PHOTO FRAME,160,0,709.54,709.54,0.00,44
23071,MARIE ANTOIENETT TRINKET BOX GOLD,1,0,12.50,12.50,0.00,1
23071,MARIE ANTOINETTE TRINKET BOX GOLD,314,76,758.60,1192.60,434.00,22
23072,MARIE ANTOINETTE TRINKET BOX SILVER,334,72,889.76,1273.76,384.00,32
23073,GEORGIAN TRINKET BOX,143,1,1694.00,1706.50,12.50,62
23074,EMBOSSED HEART TRINKET BOX,246,6,534.79,547.27,12.48,49
23075,DOUBLE CERAMIC PARLOUR HOOK,22,0,91.30,91.30,0.00,5
23075,PARLOUR CERAMIC WALL HOOK,450,34,1727.90,1869.00,141.10,81
23076,ICE CREAM SUNDAE LIP GLOSS,8076,28,9900.76,9935.76,35.00,279
23077,DOUGHNUT LIP GLOSS ,10395,60,13620.77,13695.77,75.00,347
23078,ICE CREAM PEN LIP GLOSS ,6831,48,8493.34,8553.34,60.00,259
23079, TOADSTOOL BEDSIDE LIGHT ,2,0,17.90,17.90,0.00,1
23079,TOADSTOOL BEDSIDE LIGHT ,249,14,2082.25,2207.55,125.30,112
23080,RED METAL BOX TOP SECRET,1074,11,9026.87,9117.62,90.75,264
23081,GREEN METAL BOX ARMY SUPPLIES,467,6,3856.75,3906.25,49.50,138
23081,GREEN METAL BOX TOP SECRET,16,0,132.00,132.00,0.00,4
23082,SET 6 PAPER TABLE LANTERN HEARTS ,2328,28,8455.60,8558.76,103.16,303
23083,SET 6 PAPER TABLE LANTERN STARS ,1932,63,7036.73,7250.90,214.17,249
23084,RABBIT NIGHT LIGHT,30739,108,66661.63,66870.03,208.40,1009
23085,ANTIQUE SILVER BAUBLE LAMP  ,376,13,3454.48,3583.23,128.75,83
23086,ZINC  STAR T-LIGHT HOLDER ,1217,16,1421.43,1441.43,20.00,47
23086,ZINC STAR T-LIGHT HOLDER ,8,0,10.00,10.00,0.00,1
23087,ZINC  HEART T-LIGHT HOLDER,868,15,1071.91,1090.66,18.75,70
23088,ZINC HEART FLOWER T-LIGHT HOLDER,795,0,1033.28,1033.28,0.00,79
23089,GLASS BON BON JAR,2354,15,4190.13,4215.78,25.65,232
23090,VINTAGE GLASS T-LIGHT HOLDER,2237,9,1862.56,1870.03,7.47,150
23091,METAL HERB GERDEN CONTAINER,24,0,139.68,139.68,0.00,5
23091,ZINC HERB GARDEN CONTAINER,556,7,3472.89,3516.64,43.75,208
23092,LARGE ANTIQUE WHITE PHOTO FRAME,523,10,3680.03,3757.78,77.75,144
23093,SMALL PARISIENNE HEART PHOTO FRAME ,939,3,2231.77,2239.24,7.47,144
23094,LE GRAND TRAY CHIC SET,152,2,1899.92,1924.92,25.00,81
23096,PETIT TRAY CHIC,1033,0,1736.69,1736.69,0.00,146
23099,FRENCH CARRIAGE LANTERN,137,8,872.15,925.35,53.20,62
23100,SILVER BELLS TABLE DECORATION,2166,1,2738.13,2739.38,1.25,258
23101,SILVER STARS TABLE DECORATION,2031,0,1739.63,1739.63,0.00,213
23102,SILVER HEARTS TABLE DECORATION,1274,0,1075.03,1075.03,0.00,157
23103,BELL HEART DECORATION,252,0,387.00,387.00,0.00,9
23103,JINGLE BELL HEART DECORATION,3820,28,6412.96,6459.16,46.20,359
23104,IVORY CAFE HANGING LAMP ,116,0,1380.42,1380.42,0.00,45
23104,IVORY PANTRY HANGING LAMP ,2,0,25.00,25.00,0.00,1
23106,ZINC HEARTS PLANT POT HOLDER,283,12,757.79,792.47,34.68,53
23106,ZINC PLANT POT HOLDER,8,0,23.12,23.12,0.00,1
23107,WHITE HEARTS WIRE PLANT POT HOLDER,343,0,963.27,963.27,0.00,71
23107,WHITE WIRE PLANT POT HOLDER,16,0,46.24,46.24,0.00,2
23108,SET OF 10 LED DOLLY LIGHTS,2219,64,12972.92,13290.52,317.60,390
23109,LED TEA LIGHTS,634,0,1826.76,1826.76,0.00,65
23109,PACK OF SIX LED TEA LIGHTS,1752,96,4769.22,5008.26,239.04,204
23110,PARISIENNE KEY CABINET ,700,51,3853.93,4147.18,293.25,283
23111,PARISIENNE SEWING BOX,312,24,3556.04,3839.24,283.20,154
23112,PARISIENNE CURIO CABINET,546,33,4267.23,4507.08,239.85,260
23113,PANTRY CHOPPING BOARD,1154,946,1065.44,5868.50,4803.06,63
23114,VINTAGE LEAF CHOPPING BOARD  ,149,3,723.10,737.95,14.85,47
23115,RED APPLES CHOPPING BOARD   ,152,0,770.32,770.32,0.00,45
23116,VEGETABLE GARDEN CHOPPING BOARD,76,0,382.44,382.44,0.00,22
23117,POPPY FIELDS CHOPPING BOARD,93,1,496.28,501.23,4.95,46
23118,PARISIENNE JEWELLERY DRAWER ,813,24,5922.18,6102.18,180.00,275
23119,PACK OF 6 LARGE FRUIT STRAWS ,2282,36,1379.38,1401.70,22.32,153
23120,PACK OF 6 SMALL FRUIT STRAWS,1685,72,652.15,682.39,30.24,102
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,2501,0,1000.44,1000.44,0.00,111
23122,PARTY CHARMS 50 PIECES,2251,3,1723.60,1726.09,2.49,135
23123,COCKTAIL SWORDS 50 PIECES,935,6,754.59,759.57,4.98,97
23124,18PC WOODEN CUTLERY SET DISPOSABLE,567,0,751.38,751.38,0.00,43
23125,6PC WOOD PLATE SET DISPOSABLE,459,0,574.88,574.88,0.00,38
23126,DOLLCRAFT GIRL AMELIE,36,0,178.20,178.20,0.00,8
23126,DOLLCRAFT GIRL AMELIE KIT,66,0,294.70,294.70,0.00,8
23126,FELTCRAFT GIRL AMELIE KIT,1007,16,4979.94,5059.14,79.20,281
23127,DOLLCRAFT GIRL NICOLE,68,0,336.60,336.60,0.00,12
23127,FELTCRAFT GIRL NICOLE KIT,668,13,3358.05,3422.40,64.35,185
23128,DOLLCRAFT BOY JEAN-PAUL ,82,0,373.90,373.90,0.00,12
23128,FELTCRAFT BOY JEAN-PAUL KIT,366,7,1850.11,1884.76,34.65,129
23129,HEART SHAPED HOLLY WREATH,950,1,3995.35,3999.50,4.15,173
23130,MISELTOE HEART WREATH ,80,0,312.80,312.80,0.00,5
23130,MISTLETOE HEART WREATH GREEN,882,9,3638.83,3676.18,37.35,181
23131,MISELTOE HEART WREATH CREAM,240,0,996.00,996.00,0.00,1
23131,MISELTOE HEART WREATH WHITE,78,0,304.50,304.50,0.00,4
23131,MISTLETOE HEART WREATH CREAM,624,6,2510.58,2535.48,24.90,112
23132,SMALL IVORY HEART WALL ORGANISER,1020,4,5115.60,5138.60,23.00,155
23133,LARGE IVORY HEART WALL ORGANISER,782,1,5517.15,5525.40,8.25,156
23134,LARGE ZINC HEART WALL ORGANISER,1065,0,6431.11,6431.11,0.00,38
23135,SMALL ZINC HEART WALL ORGANISER,1541,0,5416.18,5416.18,0.00,45
23136,IVORY WIRE SWEETHEART LETTER TRAY,135,0,511.89,511.89,0.00,49
23137,ZINC WIRE SWEETHEART LETTER TRAY,83,0,275.62,275.62,0.00,23
23138,SINGLE WIRE HOOK IVORY HEART,879,12,1214.11,1231.51,17.40,83
23139,SINGLE WIRE HOOK PINK HEART,414,12,511.30,528.70,17.40,28
23140,TRIPLE WIRE HOOK IVORY HEART,182,12,716.30,766.10,49.80,53
23141,TRIPLE WIRE HOOK PINK HEART,79,0,272.91,272.91,0.00,25
23142,IVORY WIRE KITCHEN ORGANISER,121,2,1201.27,1220.82,19.55,42
23143,ZINC WIRE KITCHEN ORGANISER,30,0,239.97,239.97,0.00,16
23144,ZINC T-LIGHT HOLDER STARS SMALL,5089,44,4161.31,4197.83,36.52,277
23145,ZINC T-LIGHT HOLDER STAR LARGE,2060,11,1946.23,1956.68,10.45,169
23145,ZINC T-LIGHT HOLDER STARS LARGE,24,0,22.80,22.80,0.00,2
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,798,50,2481.16,2645.26,164.10,249
23147,SINGLE ANTIQUE ROSE HOOK IVORY,1868,15,2730.45,2752.20,21.75,267
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,2091,13,1764.72,1775.51,10.79,250
23148,MINITURE ANTIQUE ROSE HOOK IVORY,48,0,40.80,40.80,0.00,4
23149,ANTIQUE IVORY WIRE BOWL SMALL,99,11,224.06,251.45,27.39,23
23150,IVORY SWEETHEART SOAP DISH,148,1,388.26,390.75,2.49,50
23151,ZINC SWEETHEART SOAP DISH,61,0,114.33,114.33,0.00,21
23152,IVORY SWEETHEART WIRE LETTER RACK ,554,7,2054.40,2080.65,26.25,162
23153,ZINC SWEETHEART WIRE LETTER RACK,263,4,1005.69,1020.69,15.00,91
23154,SET OF 4 JAM JAR MAGNETS,2701,61,5716.00,5842.88,126.88,238
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,2221,169,1775.06,1904.77,129.71,149
23156,SET OF 5 MINI GROCERY MAGNETS,1665,24,3373.37,3423.29,49.92,207
23157,SET OF 6 NATIVITY MAGNETS ,2557,240,4699.06,5143.06,444.00,164
23158,SET OF 5 LUCKY CAT MAGNETS ,2633,60,5389.03,5513.83,124.80,258
23159,SET OF 5 PANCAKE DAY MAGNETS,2293,25,4661.52,4713.52,52.00,226
23160,REGENCY TEA SPOON,1450,6,1786.98,1794.48,7.50,78
23161,REGENCY CAKE FORK,1715,12,2130.30,2145.30,15.00,99
23162,REGENCY TEA STRAINER,1412,0,5143.69,5143.69,0.00,176
23163,REGENCY SUGAR TONGS,1832,55,4400.82,4515.22,114.40,211
23164,REGENCY CAKE SLICE,578,1,2713.70,2718.65,4.95,93
23165,LARGE CERAMIC TOP STORAGE JAR,3114,102,4986.56,5141.06,154.50,298
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,74494,4221.28,81700.92,77479.64,257
23167,SMALL CERAMIC TOP STORAGE JAR ,5847,525,4110.82,4476.01,365.19,240
23168,CLASSIC CAFE SUGAR DISPENSER,3075,54,4245.74,4311.35,65.61,343
23168,CLASSIC SUGAR DISPENSER,216,0,247.32,247.32,0.00,12
23169,CLASSIC GLASS COOKIE JAR,1437,93,5804.24,6183.39,379.15,334
23169,CLASSIC GLASS SWEET JAR,119,0,479.45,479.45,0.00,14
23170,REGENCY TEA PLATE ROSES ,6857,718,10050.95,11097.25,1046.30,457
23171,REGENCY TEA PLATE GREEN ,6247,97,9905.74,10051.99,146.25,386
23172,REGENCY TEA PLATE PINK,3861,102,6190.11,6344.41,154.30,314
23173,REGENCY TEAPOT ROSES ,2766,52,24442.73,24879.13,436.40,429
23174,REGENCY SUGAR BOWL GREEN,3055,88,11997.23,12342.43,345.20,339
23175,REGENCY MILK JUG PINK ,3160,80,9361.65,9587.15,225.50,340
23176,ABC TREASURE BOOK BOX ,2165,45,4591.83,4693.08,101.25,236
23177,TREASURE ISLAND BOOK BOX,2532,20,5476.29,5521.29,45.00,272
23178,JAM CLOCK MAGNET,327,5,922.44,936.89,14.45,71
23179,CLOCK MAGNET MUM'S KITCHEN,324,0,930.48,930.48,0.00,53
23180,MUM'S KITCHEN CLOCK,122,1,616.14,621.09,4.95,50
23181,BULL DOG BOTTLE TOP WALL CLOCK,201,4,1700.57,1733.57,33.00,86
23182,TOILET SIGN OCCUPIED OR VACANT,3741,14,3676.59,3688.21,11.62,439
23183,MOTHER'S KITCHEN SPOON REST ,226,8,937.17,967.17,30.00,87
23184,BULL DOG BOTTLE OPENER,874,13,4700.15,4764.50,64.35,268
23185,FRENCH STYLE STORAGE JAR JAM,317,1,114.56,114.85,0.29,31
23186,FRENCH STYLE STORAGE JAR CAFE ,1982,12,810.22,819.46,9.24,72
23187,FRENCH STYLE STORAGE JAR BONBONS,2338,37,678.57,695.06,16.49,78
23188,VINTAGE  2 METER FOLDING RULER,1844,13,3052.27,3073.72,21.45,183
23188,VINTAGE  2 METRE FOLDING RULER,1627,1,3372.40,3374.05,1.65,153
23189,SET OF 12 FORK CANDLES,1249,1,3504.62,3507.51,2.89,142
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1702,2,2758.60,2761.90,3.30,204
23191,BUNDLE OF 3 RETRO EXERCISE BOOKS,60,0,99.00,99.00,0.00,5
23191,BUNDLE OF 3 RETRO NOTE BOOKS,2141,3,3524.94,3529.89,4.95,278
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3516,3,6109.29,6114.24,4.95,347
23193,BUFFALO BILL TREASURE BOOK BOX,1922,20,4034.28,4079.28,45.00,181
23194,GYMKHANA TREASURE BOOK BOX,1715,37,3732.28,3815.53,83.25,208
23194,GYMKHANNA TREASURE BOOK BOX,120,0,261.84,261.84,0.00,14
23196,LEAVES MAGNETIC  SHOPPING LIST,24,0,34.80,34.80,0.00,2
23196,RETO LEAVES MAGNETIC SHOPPING LIST,36,0,52.20,52.20,0.00,3
23196,RETRO LEAVES MAGNETIC NOTEPAD,105,0,154.09,154.09,0.00,19
23196,VINTAGE LEAF MAGNETIC NOTEPAD,1707,13,2582.30,2601.15,18.85,277
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1442,25,2217.45,2253.70,36.25,253
23197,VEGETABLE MAGNETIC  SHOPPING LIST,36,0,49.80,49.80,0.00,3
23198,PANTRY MAGNETIC  SHOPPING LIST,3342,64,4969.80,5062.60,92.80,489
23199,JUMBO BAG APPLES,14908,723,29141.44,30450.69,1309.25,999
23200,JUMBO BAG PEARS,7067,134,13945.33,14188.96,243.63,601
23201,JUMBO BAG ALPHABET,13366,594,26774.81,27850.83,1076.02,920
23202,JUMBO BAG VINTAGE LEAF,10941,242,21367.97,21810.43,442.46,885
23203,JUMBO BAG DOILEY PATTERNS,8893,22,17222.93,17268.69,45.76,518
23203,JUMBO BAG VINTAGE DOILEY ,144,0,272.57,272.57,0.00,7
23203,JUMBO BAG VINTAGE DOILY ,11448,568,23458.44,24489.08,1030.64,724
23204,CHARLOTTE BAG APPLES DESIGN,7976,186,7603.60,7741.94,138.34,591
23205,CHARLOTTE BAG ALPHABET  DESIGN,400,0,320.50,320.50,0.00,22
23205,CHARLOTTE BAG VINTAGE ALPHABET ,5457,191,5265.63,5405.88,140.25,453
23206,LUNCH BAG APPLE DESIGN,12147,59,20755.43,20852.58,97.15,1049
23207,LUNCH BAG ALPHABET DESIGN,7830,448,12665.95,13325.55,659.60,753
23208,LUNCH BAG VINTAGE LEAF DESIGN,6308,73,10332.06,10441.91,109.85,672
23209,LUNCH BAG DOILEY PATTERN ,6551,4,10495.59,10502.19,6.60,496
23209,LUNCH BAG VINTAGE DOILEY ,71,0,119.63,119.63,0.00,5
23209,LUNCH BAG VINTAGE DOILY ,6548,36,10737.80,10797.00,59.20,608
23210,WHITE ROCKING HORSE HAND PAINTED,2849,200,3331.77,3551.53,219.76,196
23211,RED ROCKING HORSE HAND PAINTED,2329,24,2900.57,2930.57,30.00,161
23212,HEART WREATH DECORATION WITH BELL,2284,60,2770.89,2845.89,75.00,188
23212,PAINTED HEART WREATH WITH BELL,12,0,15.00,15.00,0.00,1
23213,STAR WREATH DECORATION WITH BELL,1682,12,2123.42,2138.42,15.00,153
23214,BELL HEART ANTIQUE GOLD,12,0,24.96,24.96,0.00,1
23214,JINGLE BELL HEART ANTIQUE GOLD,777,0,1670.08,1670.08,0.00,102
23215,JINGLE BELL HEART ANTIQUE SILVER,3564,120,6823.60,7038.40,214.80,211
23216,LAUREL HEART ANTIQUE GOLD,525,0,630.73,630.73,0.00,44
23217,LAUREL HEART ANTIQUE SILVER,1309,0,1613.82,1613.82,0.00,97
23218,LAUREL STAR ANTIQUE GOLD,379,0,483.03,483.03,0.00,40
23219,LAUREL STAR ANTIQUE SILVER ,430,0,568.60,568.60,0.00,61
23220,REINDEER HEART DECORATION GOLD,993,12,859.19,869.15,9.96,104
23221,REINDEER HEART DECORATION SILVER,1536,58,1314.90,1363.04,48.14,148
23222,CHRISTMAS TREE HANGING GOLD,799,24,698.61,718.53,19.92,77
23223,CHRISTMAS TREE HANGING SILVER ,801,12,740.23,750.19,9.96,89
23224,CHERUB HEART DECORATION GOLD,738,14,637.40,649.02,11.62,73
23225,CHERUB HEART DECORATION SILVER ,1355,84,1106.45,1176.17,69.72,92
23226,FILIGREE HEART DAISY WHITE,1247,48,1536.67,1596.67,60.00,99
23227,FILIGREE HEART BUTTERFLY WHITE ,1642,6,2062.56,2070.06,7.50,119
23228,FILIGREE HEART BIRD WHITE ,1492,144,1810.24,1960.00,149.76,126
23229,DONKEY TAIL GAME ,54,0,189.54,189.54,0.00,4
23229,VINTAGE DONKEY TAIL GAME ,1815,11,6509.28,6550.17,40.89,257
23230,WRAP ALPHABET DESIGN,7976,75,3186.42,3217.92,31.50,238
23231,WRAP DOILEY DESIGN,4703,0,1927.26,1927.26,0.00,164
23231,WRAP  VINTAGE DOILEY ,100,0,42.00,42.00,0.00,2
23231,WRAP  VINTAGE DOILY ,2474,0,1039.08,1039.08,0.00,94
23232,WRAP VINTAGE LEAF DESIGN,5251,26,2098.50,2109.42,10.92,136
23232,WRAP VINTAGE PETALS  DESIGN,3275,25,1317.00,1327.50,10.50,105
23233,WRAP POPPIES  DESIGN,5175,25,2095.00,2105.50,10.50,159
23234,BISCUIT TIN VINTAGE CHRISTMAS,1722,16,5033.54,5079.78,46.24,282
23235,BISCUIT TIN VINTAGE LEAF,24,0,64.56,64.56,0.00,3
23235,STORAGE TIN VINTAGE LEAF,712,14,1845.64,1886.10,40.46,109
23236,DOILEY BISCUIT TIN,120,0,327.60,327.60,0.00,13
23236,DOILEY STORAGE TIN,1094,5,2990.01,3004.46,14.45,127
23236,STORAGE TIN VINTAGE DOILEY ,7,0,23.13,23.13,0.00,2
23236,STORAGE TIN VINTAGE DOILY ,1272,28,3623.86,3704.78,80.92,202
23237,SET OF 4 KNICK KNACK TINS LEAF,747,14,2963.71,3020.61,56.90,131
23237,SET OF 4 KNICK KNACK TINS LEAVES ,306,3,1241.33,1253.78,12.45,56
23238,SET OF 4 KNICK KNACK TINS LONDON ,1849,16,7706.01,7771.61,65.60,282
23239,SET OF 4 KNICK KNACK TINS POPPIES,842,28,3238.04,3353.84,115.80,187
23240,SET OF 4 KNICK KNACK TINS  DOILEY ,6,0,24.90,24.90,0.00,1
23240,SET OF 4 KNICK KNACK TINS DOILEY ,1819,23,7153.74,7248.79,95.05,189
23240,SET OF 4 KNICK KNACK TINS DOILY ,2352,27,9614.83,9726.48,111.65,363
23241,TREASURE TIN GYMKHANA DESIGN,2165,7,4654.99,4669.55,14.56,368
23242,TREASURE TIN BUFFALO BILL ,1470,27,2968.47,3024.63,56.16,217
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4800,117,22943.87,23489.42,545.55,505
23244,CANNISTER VINTAGE LEAF DESIGN,12,0,23.40,23.40,0.00,2
23244,ROUND STORAGE TIN VINTAGE LEAF,864,9,1576.63,1593.58,16.95,108
23244,STORAGE TIN VINTAGE LEAF,60,0,117.00,117.00,0.00,7
23245,SET OF 3 REGENCY CAKE TINS,6345,90,30697.05,31118.55,421.50,910
23247,BISCUIT TIN 50'S CHRISTMAS,2194,46,6562.71,6681.25,118.54,314
23249,ENAMEL DINNER PLATE PANTRY,12,0,19.80,19.80,0.00,1
23249,VINTAGE RED ENAMEL TRIM PLATE,830,55,1318.59,1406.30,87.71,87
23250,ENAMEL BOWL PANTRY,24,0,30.00,30.00,0.00,2
23250,VINTAGE RED TRIM ENAMEL BOWL ,1155,121,1359.23,1501.03,141.80,116
23251,ENAMEL MUG PANTRY,12,0,15.00,15.00,0.00,1
23251,VINTAGE RED ENAMEL TRIM MUG ,1700,58,2018.25,2090.75,72.50,124
23252,ENAMEL JUG PANTRY,8,0,30.00,30.00,0.00,2
23252,VINTAGE RED ENAMEL TRIM JUG ,595,33,2107.86,2231.61,123.75,143
23253,16 PC CUTLERY SET PANTRY DESIGN,4,0,63.80,63.80,0.00,1
23253,16 PIECE CUTLERY SET PANTRY DESIGN,254,2,3753.16,3785.06,31.90,71
23254,CHILDRENS CUTLERY DOLLY GIRL ,1667,20,6670.71,6753.71,83.00,299
23254,KIDS CUTLERY DOLLY GIRL ,36,0,149.40,149.40,0.00,8
23255,CHILDRENS CUTLERY CIRCUS PARADE,1014,9,4059.87,4097.22,37.35,161
23256,CHILDRENS CUTLERY SPACEBOY ,2077,88,8179.67,8517.67,338.00,368
23256,KIDS CUTLERY SPACEBOY ,36,0,149.40,149.40,0.00,8
23263,SET OF 3 WOODEN HEART DECORATIONS,3863,47,5088.44,5147.19,58.75,450
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1963,1,2689.56,2690.81,1.25,300
23265,SET OF 3 WOODEN TREE DECORATIONS,1769,15,2386.04,2404.79,18.75,295
23266,SET OF 3 WOODEN STOCKING DECORATION,2053,12,2728.82,2743.82,15.00,320
23267,SET OF 4 SANTA PLACE SETTINGS,1202,48,1471.95,1531.95,60.00,109
23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,1447,12,2000.74,2018.14,17.40,90
23269,SET OF 2 CERAMIC CHRISTMAS TREES,779,0,1152.98,1152.98,0.00,94
23270,SET OF 2 CERAMIC PAINTED HEARTS ,1174,6,1637.62,1646.32,8.70,126
23271,CHRISTMAS TABLE CANDLE SILVER SPIKE,16,0,13.28,13.28,0.00,1
23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,1715,0,1483.61,1483.61,0.00,103
23272,TREE T-LIGHT HOLDER WILLIE WINKIE,364,0,562.22,562.22,0.00,44
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,969,4,1642.45,1649.05,6.60,116
23274,STAR T-LIGHT HOLDER WILLIE WINKIE,1180,3,2000.05,2005.00,4.95,122
23275,SET OF 3 HANGING OWLS OLLIE BEAK,3720,77,4426.31,4521.72,95.41,329
23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1867,2,1493.58,1495.24,1.66,153
23280,FOLDING MIRROR HOT PINK ,156,0,118.92,118.92,0.00,5
23281,FOLDING BUTTERFLY MIRROR RED  ,1262,0,985.88,985.88,0.00,99
23281,FOLDING MIRROR RED  ,18,0,14.94,14.94,0.00,2
23282,FOLDING BUTTERFLY MIRROR IVORY ,794,0,742.92,742.92,0.00,133
23282,FOLDING MIRROR IVORY ,18,0,14.94,14.94,0.00,2
23283,DOORMAT VINTAGE LEAF,564,7,4064.75,4122.20,57.45,144
23283,DOORMAT VINTAGE LEAVES DESIGN ,430,0,2881.18,2881.18,0.00,91
23284,DOORMAT KEEP CALM AND COME IN,5487,225,36532.39,38133.64,1601.25,735
23285,PINK VINTAGE SPOT BEAKER,4807,2,4570.71,4572.41,1.70,192
